2025-01-10-17:47:00 INFO  Browser instance launched
2025-01-10-17:47:09 INFO  Login page deployed
2025-01-10-17:47:10 INFO  HomePage popups have been cleared
2025-01-10-17:47:10 INFO  Facebook login option selected.
2025-01-10-17:47:12 INFO  Email entered
2025-01-10-17:47:13 INFO  Password entered
2025-01-10-17:47:13 INFO  Log in Button clicked
2025-01-10-17:47:38 INFO  Login successful. Success element visible.
2025-01-10-17:47:38 INFO  Facebook
