2025-01-11-13:36:50 INFO  Browser instance launched
2025-01-11-13:36:59 INFO  Login page deployed
2025-01-11-13:36:59 INFO  HomePage popups have been cleared
2025-01-11-13:37:00 INFO  Facebook login option selected.
2025-01-11-13:37:01 INFO  Email entered
2025-01-11-13:37:01 INFO  Password entered
2025-01-11-13:37:01 INFO  Log in Button clicked
2025-01-11-13:37:26 INFO  Login successful. Success element visible.
2025-01-11-13:37:26 INFO  We made it this far
2025-01-11-13:37:26 INFO  Grocery Store | Quality Products Low Prices | Lidl US
