2025-01-04-11:05:52 INFO  Browser instance launched
2025-01-04-11:06:00 INFO  Login page deployed
2025-01-04-11:06:01 INFO  HomePage popups have been cleared
2025-01-04-11:06:01 INFO  Sign in Header is visible.
2025-01-04-11:06:01 INFO  All 3 social login in buttons are visible.
2025-01-04-11:06:01 INFO  Email and password field are both displayed on the login page.
2025-01-04-11:06:01 INFO  Sign in Button is displayed.
2025-01-04-11:06:01 INFO  Join prompt is displayed.
2025-01-04-11:06:02 INFO  Join Button is displayed.
