2025-01-04-10:49:20 INFO  Browser instance launched
2025-01-04-10:49:23 INFO  Login page deployed
2025-01-04-10:49:55 INFO  HomePage popups have been cleared
2025-01-04-10:49:55 INFO  Sign in Header is visible.
2025-01-04-10:49:56 INFO  All 3 social login in buttons are visible.
2025-01-04-10:49:56 INFO  Email and password field are both displayed on the login page.
2025-01-04-10:49:56 INFO  Sign in Button is displayed.
2025-01-04-10:49:56 INFO  Join prompt is displayed.
2025-01-04-10:49:56 INFO  Join Button is displayed.
