2025-01-04-11:04:56 INFO  Browser instance launched
2025-01-04-11:05:03 INFO  Login page deployed
2025-01-04-11:05:24 INFO  HomePage popups have been cleared
2025-01-04-11:05:24 INFO  Sign in Header is visible.
2025-01-04-11:05:24 INFO  All 3 social login in buttons are visible.
2025-01-04-11:05:24 INFO  Email and password field are both displayed on the login page.
2025-01-04-11:05:24 INFO  Sign in Button is displayed.
2025-01-04-11:05:24 INFO  Join prompt is displayed.
2025-01-04-11:05:24 INFO  Join Button is displayed.
