2024-10-13-16:04:41 INFO  Browser instance launched
2024-10-13-16:04:49 INFO  Login page deployed
2024-10-13-16:04:50 INFO  HomePage popups have been cleared
2024-10-13-16:04:50 INFO  Sign in Header is visible.
2024-10-13-16:04:50 INFO  All 3 social login in buttons are visible.
2024-10-13-16:04:50 INFO  Email and password field are both displayed on the login page.
2024-10-13-16:04:50 INFO  Sign in Button is displayed.
2024-10-13-16:04:50 INFO  Join prompt is displayed.
2024-10-13-16:04:50 INFO  Join Button is displayed.
